LOR-Schlüssel (Bezirksregion),"Brand-
stiftung","Branddelikte 
-insgesamt-","Diebstahl 
-insgesamt-","Diebstahl 
an/aus Kfz",Diebstahl von Kraftwagen,"Fahrrad-
diebstahl","Freiheits-beraubung, Nötigung,
Bedrohung, Nachstellung",Gefährl. und schwere Körper-verletzung,Kieztaten,"Körper-verletzungen 
-insgesamt-",Raub,Rauschgift-delikte,Sach-beschädigung -insgesamt-,Sach-beschädigung durch Graffiti,"Straftaten 
-insgesamt-","Straßenraub,
Handtaschen-raub","Wohnraum-
einbruch",Bezirk
010000,24,70,8702,936,106,944,513,443,3586,1649,195,768,1297,306,19699,112,229,Mitte
020000,28,82,7710,860,118,1190,361,457,3323,1383,243,1325,1486,358,16974,158,194,Friedrichshain-Kreuzberg
030000,17,46,4279,557,132,888,233,152,1844,626,68,147,883,253,8246,39,181,Pankow
040000,20,45,6206,1025,168,803,377,232,2527,965,118,288,929,201,12884,62,289,Charlottenburg-Wilmersdorf
050000,26,64,3774,610,114,348,387,228,2270,981,93,194,836,108,9070,51,177,Spandau
060000,15,40,3280,602,126,537,231,95,1325,494,50,117,716,176,6701,27,258,Steglitz-Zehlendorf
070000,17,48,4519,700,124,618,315,177,2087,782,93,279,839,177,9631,53,191,Tempelhof-Schöneberg
080000,29,66,5023,887,127,514,377,296,2573,1022,133,447,1026,155,11110,73,234,Neukölln
090000,23,51,3614,599,162,680,276,156,1676,700,62,169,866,210,7735,36,157,Treptow-Köpenick
100000,20,64,2977,545,165,316,308,180,1944,942,76,134,874,169,7544,45,134,Marzahn-Hellersdorf
110000,22,56,3676,624,182,509,264,174,1874,801,70,147,854,184,8026,42,144,Lichtenberg
120000,21,54,3636,671,102,359,376,209,2044,879,86,269,786,140,9084,45,223,Reinickendorf
